Aruba;"Aruba ( _ə- ROO-bə_, Dutch: [aːˈrubaː] or [aːˈrybaː] , Papiamento: [aˈruba]), officially known as the Country of Aruba (Dutch: _Land Aruba_ ; Papiamento: _Pais Aruba_ ), is a constituent country within the Kingdom of the Netherlands, situated in the south of the Caribbean Sea. Aruba is located approximately 29 kilometres (18 mi) north of the Venezuelan peninsula of Paraguaná and 80 kilometres (50 mi) northwest of Curaçao.  Aruba measures 32 kilometres (20 mi) in length from its northwestern to its southeastern end and is 10 kilometres (6 mi) across at its widest point. Alongside Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands. The Dutch Caribbean encompasses the ABC islands, along with the other three Dutch substantial islands in the Caribbean, the SSS islands. Aruba contributes to about one-third of the population of the Dutch Caribbean.  In 1986, it became a constituent country within the Kingdom of the Netherlands, and acquired the formal name the Country of Aruba.  As one of the four countries in the Kingdom of the Netherlands, alongside the Netherlands, Curaçao, and Sint Maarten, Aruba shares Dutch nationality with its citizens. Aruba lacks administrative subdivisions but is divided into eight regions for census purposes with Oranjestad as its capital.  In contrast to much of the Caribbean, Aruba has a dry climate with an arid xeric landscape. The relatively warm and sunny weather persists throughout the year. Aruba has an area of 179 km2 (69.1 sq mi) and a dense population of 108,166 as per the 2020 census.  "
Afghanistan;Afghanistan , officially the Islamic Emirate of Afghanistan , is a landlocked country located at the crossroads of Central Asia and South Asia. Referred to as the Heart of Asia, it is bordered by Pakistan to the east and south, Iran to the west, Turkmenistan to the northwest, Uzbekistan to the north, Tajikistan to the northeast, and China to the northeast and east. Occupying 652,864 square kilometers (252,072 sq mi) of land, the country is predominantly mountainous with plains in the north and the southwest, which are separated by the Hindu Kush mountain range. Kabul is the country's largest city and serves as its capital. According to the World Population review, as of 2021, Afghanistan's population is 40.2 million. The National Statistics Information Authority of Afghanistan estimated the population to be 32.9 million as of 2020.  Human habitation in Afghanistan dates to the Middle Paleolithic era. Popularly referred to as the graveyard of empires, the land has historically been home to various peoples and has witnessed numerous military campaigns, including those by the Persians, Alexander the Great, the Maurya Empire, Arab Muslims, the Mongols, the British, the Soviet Union, and a US-led coalition. Afghanistan also served as the source from which the Greco-Bactrians and the Mughals, amongst others, rose to form major empires. The various conquests and periods in both the Iranian and Indian cultural spheres made the area a center for Zoroastrianism, Buddhism, Hinduism, and later Islam. The modern state of Afghanistan began with the Durrani Afghan Empire in the 18th century, although Dost Mohammad Khan is sometimes considered to be the founder of the first modern Afghan state. Dost Mohammad died in 1863, days after his last campaign to unite Afghanistan, and Afghanistan was consequently thrown back into civil war. During this time, Afghanistan became a buffer state in the Great Game between the British Empire and the Russian Empire. From India, the British attempted to subjugate Afghanistan but were repelled in the First Anglo-Afghan War. However, the Second Anglo-Afghan War saw a British victory and the successful establishment of British political influence. Following the Third Anglo-Afghan War in 1919, Afghanistan became free of foreign political hegemony, and emerged as the independent Kingdom of Afghanistan in June 1926 under Amanullah Khan. This monarchy lasted almost half a century, until Zahir Shah was overthrown in 1973, following which the Republic of Afghanistan was established.  Since the late 1970s, Afghanistan's history has been dominated by extensive warfare, including coups, invasions, insurgencies, and civil wars. The conflict began in 1978 when a communist revolution established a socialist state, and subsequent infighting prompted the Soviet Union to invade Afghanistan in 1979. Mujahideen fought against the Soviets in the Soviet–Afghan War and continued fighting amongst themselves following the Soviets' withdrawal in 1989. The Islamic fundamentalist Taliban controlled most of the country by 1996, but their Islamic Emirate of Afghanistan received little international recognition before its overthrow in the 2001 US invasion of Afghanistan. The Taliban returned to power in 2021 after capturing Kabul and overthrowing the government of the Islamic Republic of Afghanistan, ending the 2001–2021 war. In September 2021 the Taliban re-established the Islamic Emirate of Afghanistan. The Taliban government remains internationally unrecognized.  Afghanistan is rich in natural resources, including lithium, iron, zinc, and copper. It is the second largest producer of cannabis resin, and third largest of both saffron and cashmere. The country is a member of the South Asian Association for Regional Cooperation and a founding member of the Organization of Islamic Cooperation. Due to the effects of war in recent decades, the country has dealt with high levels of terrorism, poverty, and child malnutrition. Afghanistan remains among the world's least developed countries, ranking 180th in the Human Development Index. Afghanistan's gross domestic product (GDP) is $81 billion by purchasing power parity and $20.1 billion by nominal values. Per capita, its GDP is amongst the lowest of any country as of 2020.  
Angola;"Angola ( _an- GOH-lə_; Portuguese: [ɐ̃ˈɡɔlɐ]; Kongo: _Ngola_ , pronounced [ŋɔla]), officially the Republic of Angola (Portuguese: _República de Angola_ ), is a country on the west-central coast of Southern Africa. It is the second-largest Lusophone (Portuguese-speaking) country in both total area and population (behind Brazil in both cases), and is the seventh-largest country in Africa. It is bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. Angola has an exclave province, the province of Cabinda, that borders the Republic of the Congo and the Democratic Republic of the Congo. The capital and most populous city is Luanda.  Angola has been inhabited since the Paleolithic Age. Its formation as a nation-state originates from Portuguese colonisation, which initially began with coastal settlements and trading posts founded in the 16th century. In the 19th century, European settlers gradually began to establish themselves in the interior. The Portuguese colony that became Angola did not have its present borders until the early 20th century, owing to resistance by native groups such as the Cuamato, the Kwanyama and the Mbunda.  After a protracted anti-colonial struggle, Angola achieved independence in 1975 as a Marxist–Leninist one-party Republic. The country descended into a devastating civil war the same year, between the ruling People's Movement for the Liberation of Angola (MPLA), backed by the Soviet Union and Cuba, the insurgent National Union for the Total Independence of Angola, an originally Maoist and later anti-communist group supported by the United States and South Africa, and the militant organization National Liberation Front of Angola, backed by Zaire. The country has been governed by MPLA ever since its independence in 1975. Following the end of the war in 2002, Angola emerged as a relatively stable unitary, presidential constitutional republic.  Angola has vast mineral and petroleum reserves, and its economy is among the fastest-growing in the world, especially since the end of the civil war; however, economic growth is highly uneven, with most of the nation's wealth concentrated in a disproportionately small part of the population; the largest investment and trade partners are China and the United States. The standard of living remains low for most Angolans; life expectancy is among the lowest in the world, while infant mortality is among the highest. Since 2017, the government of João Lourenço has made fighting corruption its flagship, so much so that many individuals of the previous government are either jailed or awaiting trial. Whilst this effort has been recognised by foreign diplomats to be legitimate, some skeptics see the actions as being politically motivated.  Angola is a member of the United Nations, OPEC, African Union, the Community of Portuguese Language Countries, and the Southern African Development Community. As of 2021, the Angolan population is estimated at 32.87 million. Angola is multicultural and multiethnic. Angolan culture reflects centuries of Portuguese influence, namely the predominance of the Portuguese language and of the Catholic Church, intermingled with a variety of indigenous customs and traditions.  "
Anguilla;Anguilla ( _ang- GWIL-ə_) is a British Overseas Territory in the Caribbean. It is one of the most northerly of the Leeward Islands in the Lesser Antilles, lying east of Puerto Rico and the Virgin Islands and directly north of Saint Martin. The territory consists of the main island of Anguilla, approximately 16 miles (26 kilometres) long by 3 miles (5 km) wide at its widest point, together with a number of much smaller islands and cays with no permanent population. The territory's capital is The Valley. The total land area of the territory is 35 square miles (91 km2), with a population of approximately 15,753 (2021).  
Albania;"Albania ( _a(w)l- BAY-nee-ə_; Albanian: _Shqipëri_ or _Shqipëria_ ), officially the Republic of Albania (Albanian: _Republika e Shqipërisë_ ), is a country in Southeast Europe. The country is located in the Balkans on the Adriatic and Ionian Seas within the Mediterranean Sea and shares land borders with Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east and Greece to the south. Spanning an area of 28,748 km2 (11,100 sq mi), it displays a varied range of climatic, geological, hydrological and morphological conditions. The country's landscapes range from rugged snow- capped mountains in the Albanian Alps and the Korab, Skanderbeg, Pindus and Ceraunian Mountains, to fertile lowland plains extending from the coasts of the Adriatic and Ionian seas. Tirana is the capital and largest city in the country, followed by Durrës, Vlorë, and Shkodër.  In ancient times, the Illyrians inhabited northern and central regions of Albania, whilst Epirotes inhabited the south. Several important ancient Greek colonies were also established on the coast. In the 2nd century BCE, the region was annexed by the Roman Republic, and after the division of the Roman Empire it became part of Byzantium. The first known Albanian autonomous principality – Arbanon – was established in the 12th century. The Kingdom of Albania, Principality of Albania and Albania Veneta were formed between the 13th and 15th centuries in different parts of the country, alongside other Albanian principalities and political entities. In the late 15th century, Albania became part of the Ottoman Empire until 1912, when the modern Albanian state declared independence. In 1939, Italy invaded the Kingdom of Albania, which became Greater Albania, and then a protectorate of Nazi Germany during World War II. Following the war, the People's Socialist Republic of Albania was formed, which lasted until the Revolutions of 1991 concluded with the fall of communism in Albania and eventually the establishment of the current Republic of Albania.  Albania is a unitary parliamentary constitutional republic. It is a developing country, ranking 67th in the Human Development Index, with an upper-middle income economy dominated by the service sector, followed by manufacturing. It went through a process of transition following the end of communism in 1990, from centralised planning to a market-based economy. Albania provides universal health care and free primary and secondary education to its citizens. Albania is a member of the United Nations, World Bank, UNESCO, NATO, WTO, COE, OSCE, and OIC. It has been an official candidate for membership in the European Union since 2014. It is one of the founding members of the Energy Community, including the Organization of the Black Sea Economic Cooperation and Union for the Mediterranean.  "
Andorra;Andorra , officially the Principality of Andorra , is a sovereign landlocked country on the Iberian Peninsula, in the eastern Pyrenees, bordered by France to the north and Spain to the south. Believed to have been created by Charlemagne, Andorra was ruled by the count of Urgell until 988, when it was transferred to the Roman Catholic Diocese of Urgell. The present principality was formed by a charter in 1278. It is currently headed by two co-princes: the bishop of Urgell in Catalonia, Spain and the president of France. Its capital and largest city is Andorra la Vella.  Andorra is the sixth-smallest state in Europe, with an area of 468 square kilometres (181 sq mi) and a population of approximately 79,034. The Andorran people are a Romance ethnic group closely related to Catalans. Andorra is the world's 16th-smallest country by land and 11th-smallest by population. Its capital, Andorra la Vella, is the highest capital city in Europe, at an elevation of 1,023 metres (3,356 feet) above sea level. The official language is Catalan, but Spanish, Portuguese, and French are also commonly spoken.  Tourism in Andorra brings an estimated 10.2 million visitors to the country annually. Andorra is not a member state of the European Union. It has been a member of the United Nations since 1993.  
United Arab Emirates;"The United Arab Emirates (Arabic: الإمارات العربية المتحدة, romanized: _al-ʾImārāt al-ʿArabiyya l-Muttaḥida_ ; UAE ), or simply the Emirates (Arabic: الإمارات, romanized: _al-ʾImārāt_ ), is a country in West Asia, in the Middle East. It is located at the eastern end of the Arabian Peninsula and shares borders with Oman and Saudi Arabia, while also having maritime borders in the Persian Gulf with Qatar and Iran. Abu Dhabi is the country's capital, while Dubai, the most populous city, is an international hub.  The United Arab Emirates is an elective monarchy formed from a federation of seven emirates, consisting of Abu Dhabi, Ajman, Dubai, Fujairah, Ras Al Khaimah, Sharjah and Umm Al Quwain. Each emirate is an absolute monarchy governed by a ruler, and together the rulers form the Federal Supreme Council, the highest executive and legislative body. The Federal Supreme Council elects a president and two vice presidents from among their members; as of 14 May 2023, the president is Sheikh Mohamed bin Zayed Al Nahyan and the vice presidents are Sheikh Mohammed bin Rashid Al Maktoum and Sheikh Mansour bin Zayed Al Nahyan. In practice, the ruler of Abu Dhabi serves as president while the ruler of Dubai is vice president and also prime minister.  As of 2023, the UAE has an estimated population of 9.97 million. Emirati citizens are estimated to form 11.6% of the population; the remaining residents are expatriates, the majority of whom are South Asian. Islam is the official religion and Arabic is the official language. The United Arab Emirates' oil and natural gas reserves are the world's sixth and seventh- largest, respectively. Zayed bin Sultan Al Nahyan, ruler of Abu Dhabi and the country's first president, oversaw the development of the Emirates by investing oil revenues into healthcare, education, and infrastructure. The country has the most diversified economy among the members of the Gulf Cooperation Council. In the 21st century, the UAE has become less reliant on oil and gas and is economically focusing on tourism and business. The UAE is considered a middle power. It is a member of the United Nations, Arab League, Organisation of Islamic Cooperation, OPEC, Non-Aligned Movement, World Trade Organization and Gulf Cooperation Council (GCC). The UAE is also a dialogue partner of the Shanghai Cooperation Organisation. It is among the first Arab countries expected to join BRICS on 1 January 2024 (along with Egypt and Saudi Arabia).  Human rights organisations consider the UAE substandard on human rights, citing reports of government critics being imprisoned and tortured, families harassed by the state security apparatus, and cases of forced disappearances. Individual rights such as the freedoms of assembly, association, the press, expression, and religion are also severely repressed.  "
Argentina;Argentina (Spanish pronunciation: [aɾxenˈtina] ), officially the Argentine Republic (Spanish: _República Argentina_ ), is a country in the southern half of South America. Argentina covers an area of 2,780,400 km2 (1,073,500 sq mi), making it the second-largest country in South America after Brazil, the fourth-largest country in the Americas, and the eighth-largest country in the world. It shares the bulk of the Southern Cone with Chile to the west, and is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south. Argentina is a federal state subdivided into twenty- three provinces, and one autonomous city, which is the federal capital and largest city of the nation, Buenos Aires. The provinces and the capital have their own constitutions, but exist under a federal system. Argentina claims sovereignty over the Falkland Islands, South Georgia and the South Sandwich Islands, the Southern Patagonian Ice Field, and a part of Antarctica.  The earliest recorded human presence in modern-day Argentina dates back to the Paleolithic period. The Inca Empire expanded to the northwest of the country in Pre-Columbian times. The country has its roots in Spanish colonization of the region during the 16th century. Argentina rose as the successor state of the Viceroyalty of the Río de la Plata, a Spanish overseas viceroyalty founded in 1776. The declaration and fight for independence (1810–1818) was followed by an extended civil war that lasted until 1861, culminating in the country's reorganization as a federation. The country thereafter enjoyed relative peace and stability, with several waves of European immigration, mainly Italians and Spaniards, influencing its culture and demography.  Following the death of President Juan Perón in 1974, his widow and vice president, Isabel Perón, ascended to the presidency, before being overthrown in 1976. The following military junta, which was supported by the United States, persecuted and murdered thousands of political critics, activists, and leftists in the Dirty War, a period of state terrorism and civil unrest that lasted until the election of Raúl Alfonsín as president in 1983.  Argentina is a regional power, and retains its historic status as a middle power in international affairs. A major non-NATO ally of the United States, Argentina is a developing country with the second-highest HDI (human development index) in Latin America after Chile. It maintains the second- largest economy in South America, and is a member of G-15 and G20. Argentina is also a founding member of the United Nations, World Bank, World Trade Organization, Mercosur, Community of Latin American and Caribbean States and the Organization of Ibero-American States.  
Armenia;Armenia ( _ar- MEE-nee-ə_), officially the Republic of Armenia , is a landlocked country in the Armenian Highlands of West Asia. It is a part of the Caucasus region and is bordered by Turkey to the west, Georgia to the north and Azerbaijan to the east, and Iran and the Azerbaijani exclave of Nakhchivan to the south. Yerevan is the capital, largest city and financial center.  Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage. The first Armenian state of Urartu was established in 860 BC, and by the 6th century BC it was replaced by the Satrapy of Armenia. The Kingdom of Armenia reached its height under Tigranes the Great in the 1st century BC and in the year 301 became the first state in the world to adopt Christianity as its official religion. Armenia still recognises the Armenian Apostolic Church, the world's oldest national church, as the country's primary religious establishment. The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century. Under the Bagratuni dynasty, the Bagratid Kingdom of Armenia was restored in the 9th century before falling in 1045. Cilician Armenia, an Armenian principality and later a kingdom, was located on the coast of the Mediterranean Sea between the 11th and 14th centuries.  Between the 16th and 19th centuries, the traditional Armenian homeland composed of Eastern Armenia and Western Armenia came under the rule of the Ottoman and Persian empires, repeatedly ruled by either of the two over the centuries. By the 19th century, Eastern Armenia had been conquered by the Russian Empire, while most of the western parts of the traditional Armenian homeland remained under Ottoman rule. During World War I, 1.5 million Armenians living in their ancestral lands in the Ottoman Empire were systematically exterminated in the Armenian genocide. In 1918, following the Russian Revolution, all non-Russian countries declared their independence after the Russian Empire ceased to exist, leading to the establishment of the First Republic of Armenia. By 1920, the state was incorporated into the Soviet Union. The modern Republic of Armenia became independent in 1991 during the dissolution of the Soviet Union.  Armenia is a developing country and ranks 85th on the Human Development Index (2021). Its economy is primarily based on industrial output and mineral extraction. While Armenia is geographically located in the South Caucasus, it is generally considered geopolitically European. Since Armenia aligns itself in many respects geopolitically with Europe, the country is a member of numerous European organizations including the Organization for Security and Co-Operation in Europe, the Council of Europe, the Eastern Partnership, Eurocontrol, the Assembly of European Regions, and the European Bank for Reconstruction and Development. Armenia is also a member of certain regional groups throughout Eurasia, including the Asian Development Bank, the Collective Security Treaty Organization, the Eurasian Economic Union, and the Eurasian Development Bank. Armenia supported once _de facto_ independent Republic of Artsakh (Nagorno-Karabakh), which was proclaimed in 1991 on territory internationally recognized as part of Azerbaijan until September 2023.  
American Samoa;"American Samoa (Samoan: _Amerika Sāmoa_ , pronounced [aˈmɛɾika ˈsaːmʊa]; also __Amelika Sāmoa__ or __Sāmoa Amelika__ ) is an unincorporated territory of the United States located in the South Pacific Ocean, southeast of the island country of Samoa. Centered on 14.3°S 170.7°W﻿ / -14.3; -170.7, it is east of the International Date Line and the Wallis and Futuna Islands, west of the Cook Islands, north of Tonga, and some 500 kilometers (310 mi) south of Tokelau. American Samoa is the southernmost territory of the United States and one of two U.S. territories south of the Equator, along with the uninhabited Jarvis Island.  American Samoa consists of five main islands and two coral atolls; the largest and most populous island is Tutuila, with the Manuʻa Islands, Rose Atoll and Swains Island also included in the territory. All islands except for Swains Island are part of the Samoan Islands, and the total land area is 199 square kilometers (76.8 sq mi), slightly more than Washington, D.C. As of 2022, the population of American Samoa is approximately 45,443 people, of whom the vast majority are indigenous ethnic Samoans. Most American Samoans are bilingual and can speak English and Samoan fluently.  Inhabited by Polynesians since prehistoric times, American Samoa was first contacted by Europeans in the 18th century. The islands attracted missionaries, explorers, and mariners, particularly to its highly protected natural harbor of Pago Pago. The United States took possession of American Samoa in the late 19th century, developing it into a major naval outpost; its strategic value was reinforced by the Second World War and subsequent Cold War. In 1967, the territory became self-governing with the adoption of a constitution; into the 21st century, it remains unorganized and thus directly administered by the federal government. It has been a member of the Pacific Community since 1983.  Due to its strategic location, the U.S. military has a significant presence in American Samoa and plays a major role in its economy and society. The territory is noted for having the highest rate of military enlistment of any U.S. state or territory; as of 2021, the local U.S. Army recruiting station in Pago Pago ranked first in recruitment. Tuna products are the main exports, with the U.S. proper serving as the largest trading partner. Tourism is a nascent but underdeveloped sector, owing in part to the territory's relative geographic isolation, which also accounts for its high rate of poverty and emigration.  Residents of American Samoa are politically disenfranchised, with no voting representation in the U.S. Congress. American Samoa is the only permanently inhabited territory of the United States in which citizenship is not granted at birth, and people born there are considered ""non-citizen nationals"" with limited rights.  "
